experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group,campaign,dataset,architecture,val_smape_cum_norm,val_smape_agg_norm,weighted_score
UNISIM_IV_P13_Seq2Trend_trial_142,P13,acbc2db5c032007cd3a160eeed0d5826,142,6.123761532527058,0.1799187386481951,Seq2Trend,Normal,False,0.5,300,300,200,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,8,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.13444444444444445,0.5238888888888888,1.3166666666666667
UNISIM_IV_P13_Seq2Trend_trial_57,P13,1d8e51d4e5c52c797da669722fbe7593,57,5.26988710469413,0.7397863991782757,Seq2Trend,Normal,False,0.01,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,3,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.5611111111111111,0.25055555555555553,1.6233333333333333
UNISIM_IV_P13_Seq2Trend_trial_136,P13,3a7bb55f0f318c6a4f7c5c2603faad81,136,5.074751277889285,0.5698824070308495,Seq2Trend,Normal,False,0.01,300,300,200,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,5,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.4261111111111111,0.14333333333333334,1.1388888888888888
UNISIM_IV_P13_Seq2Trend_trial_119,P13,7f2a26285cca88dd46c3cf9f7f751bd3,119,5.213384901599554,0.6871934140086021,Seq2Trend,Normal,False,0.01,300,300,100,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,3,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.5416666666666666,0.24444444444444444,1.5722222222222222
UNISIM_IV_P13_Seq2Trend_trial_33,P13,b815eab53d5f23d8b7fc2270069d2724,33,5.97890789995682,0.5479429172127798,Seq2Trend,Normal,False,0.01,300,300,100,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.42055555555555557,0.4111111111111111,1.6633333333333333
UNISIM_IV_P13_Seq2Trend_trial_80,P13,361060581ae5c31b6f39f19b0bf7ef88,80,5.446670212688956,0.8052543022278831,Seq2Trend,Normal,False,0.25,300,300,100,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,7,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.5811111111111111,0.2788888888888889,1.7200000000000002
UNISIM_IV_P13_Seq2Trend_trial_69,P13,cf0ec1514c9dbd49f93a62ef4da6f77c,69,5.373013673539957,0.7649310129278978,Seq2Trend,Normal,False,0.5,300,300,200,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,4,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.57,0.27055555555555555,1.681111111111111
UNISIM_IV_P13_Seq2Trend_trial_9,P13,af3d04d22de997fd02dd940e0528402d,9,5.663881577216539,1.0076466148801346,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,7,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.7091666666666666,0.2975,2.013333333333333
UNISIM_IV_P13_Seq2Trend_trial_39,P13,cb0af171c6e4d49661a72d0eb4b4ea44,39,6.128454200858919,1.1494217618359128,Seq2Trend,Normal,False,0.25,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,5,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.7241666666666666,0.5258333333333334,2.5
UNISIM_IV_P13_Seq2Trend_trial_98,P13,56192cc93477428858bb87d55ad02076,98,6.52940752549723,1.06613692227547,Seq2Trend,Normal,False,0.25,300,300,200,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.7172222222222222,0.605,2.6444444444444444
