status,job_hash,well,experiment_id,output_path,val_smape_agg,val_smape_cum,error,config,metadata
success,e6079e96da55c140a6fc9e4dbaae07fe,P14,UNISIM_IV_P14_Seq2Trend_trial_0,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/e6079e96da55c140a6fc9e4dbaae07fe.json,22.593067567314378,4.695548864768511,,,
success,ed38636529e5781aa450b3009617b652,P14,UNISIM_IV_P14_Seq2Trend_trial_1,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/ed38636529e5781aa450b3009617b652.json,13.690804725606803,2.811600872518749,,,
success,4e1f289741cc26d812066eddd2b42630,P14,UNISIM_IV_P14_Seq2Trend_trial_2,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/4e1f289741cc26d812066eddd2b42630.json,21.499382897295153,4.648655144876423,,,
success,85e8b8335f1468ca1de30f35cc631e06,P14,UNISIM_IV_P14_Seq2Trend_trial_3,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/85e8b8335f1468ca1de30f35cc631e06.json,7.673908461334776,1.1244220303307857,,,
success,d85483b10f0f9400a27ae76791a31c37,P14,UNISIM_IV_P14_Seq2Trend_trial_4,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/d85483b10f0f9400a27ae76791a31c37.json,26.773199109195094,5.642336092249415,,,
success,87f2ee7e61288f3d9d315873cc8aaf06,P14,UNISIM_IV_P14_Seq2Trend_trial_5,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/87f2ee7e61288f3d9d315873cc8aaf06.json,15.706588531020483,3.284249998301038,,,
success,c5bb6553ff0a28f45fc9ba4a8416cfd9,P14,UNISIM_IV_P14_Seq2Trend_trial_6,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/c5bb6553ff0a28f45fc9ba4a8416cfd9.json,16.92686780387281,3.7720670523079987,,,
success,ca6f341e2ef5e905bc5a7f40e4d235c8,P14,UNISIM_IV_P14_Seq2Trend_trial_7,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/ca6f341e2ef5e905bc5a7f40e4d235c8.json,20.530292953301803,4.406938974313573,,,
success,a5db69255a96f12eb410e7a621ffbf5d,P14,UNISIM_IV_P14_Seq2Trend_trial_8,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/a5db69255a96f12eb410e7a621ffbf5d.json,35.12415128380011,7.315090838506223,,,
success,efabca35aa4d24de2175c2b424c216bf,P14,UNISIM_IV_P14_Seq2Trend_trial_9,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/efabca35aa4d24de2175c2b424c216bf.json,12.825484885098524,2.620531728642667,,,
success,c3d64fdefcf7da01a8bcb6d499b3d83c,P14,UNISIM_IV_P14_Seq2Trend_trial_10,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/c3d64fdefcf7da01a8bcb6d499b3d83c.json,9.326086582135062,1.8697798168179376,,,
success,b0d66840eec19cac24b4c5e30be3ecd2,P14,UNISIM_IV_P14_Seq2Trend_trial_11,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/b0d66840eec19cac24b4c5e30be3ecd2.json,56.07323945402963,11.068556300513308,,,
success,65957c23e699771f32a2befc47b7a8e3,P14,UNISIM_IV_P14_Seq2Trend_trial_12,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/65957c23e699771f32a2befc47b7a8e3.json,21.87197975393236,4.608101703741098,,,
success,f3296b2f5314bc851cea810d29fc71a3,P14,UNISIM_IV_P14_Seq2Trend_trial_13,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/f3296b2f5314bc851cea810d29fc71a3.json,20.0437602348238,4.211958548960337,,,
success,f714caaf8f9d8b834e28fdb97f2fa29c,P14,UNISIM_IV_P14_Seq2Trend_trial_14,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/f714caaf8f9d8b834e28fdb97f2fa29c.json,43.77482938257279,8.902084786835076,,,
success,4e99d03e3046d9c6425bfdf6f9cb1959,P14,UNISIM_IV_P14_Seq2Trend_trial_15,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/4e99d03e3046d9c6425bfdf6f9cb1959.json,30.3622893781019,6.387382515980134,,,
success,b8a6ea1d22fd881f5357c4c6dfcba2fa,P14,UNISIM_IV_P14_Seq2Trend_trial_16,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/b8a6ea1d22fd881f5357c4c6dfcba2fa.json,19.916790283719628,4.2224168569494545,,,
success,e63fefb0d18820af3156bb8dda354bc6,P14,UNISIM_IV_P14_Seq2Trend_trial_17,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/e63fefb0d18820af3156bb8dda354bc6.json,9.013814855115882,2.0043446016428543,,,
success,7c28d5feecaa02ed8e2801ba2060d60b,P14,UNISIM_IV_P14_Seq2Trend_trial_18,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/7c28d5feecaa02ed8e2801ba2060d60b.json,18.21317637197985,3.794399045750153,,,
success,e43ecfc03ddf52ada116af5bbbd022c1,P14,UNISIM_IV_P14_Seq2Trend_trial_19,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/e43ecfc03ddf52ada116af5bbbd022c1.json,15.24103787504566,3.2197167683796,,,
success,63fe2d5d91eae870e6b69a24db633976,P14,UNISIM_IV_P14_Seq2Trend_trial_20,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/63fe2d5d91eae870e6b69a24db633976.json,35.249954957157854,7.314050585451076,,,
success,f1dfcffb12a1ac86e1d28e58892a2369,P14,UNISIM_IV_P14_Seq2Trend_trial_21,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/f1dfcffb12a1ac86e1d28e58892a2369.json,17.444573820165367,3.763428121993822,,,
success,9c76d88b9a2f5d98974ff1eb070699aa,P14,UNISIM_IV_P14_Seq2Trend_trial_22,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/9c76d88b9a2f5d98974ff1eb070699aa.json,14.924715339392039,3.2136833596500587,,,
success,0b4f2002783ecfc32d5599203f81e22a,P14,UNISIM_IV_P14_Seq2Trend_trial_23,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/0b4f2002783ecfc32d5599203f81e22a.json,7.61761993491632,0.9195017649150367,,,
success,4eee904e9a3a94d40cd4b3dbd0b514bd,P14,UNISIM_IV_P14_Seq2Trend_trial_24,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/4eee904e9a3a94d40cd4b3dbd0b514bd.json,14.22217004538753,2.977002203724626,,,
success,474070460f2d07a6559a96357c79fc6f,P14,UNISIM_IV_P14_Seq2Trend_trial_25,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/474070460f2d07a6559a96357c79fc6f.json,7.802741585637555,1.2193555264979785,,,
success,356f8c8c9db2a3449189d27161872ea3,P14,UNISIM_IV_P14_Seq2Trend_trial_26,/home/gabriel/Documentos/Equinor/src/experiment_configs/results/UNISIM_IV_P14_Seq2Trend_cycle_1/results/356f8c8c9db2a3449189d27161872ea3.json,5.648075347130242,0.059709168753902475,,,
