experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group
UNISIM_IV_P15_Seq2Trend_trial_155,P15,4ea6a27a9addee46132834c8257b7156,155,5.824081128927889,0.4487355613770008,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_199,P15,28dc52613f91173dfbcc85baef926e3b,199,5.824081128927889,0.4487355613770008,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_157,P15,ca83223b940f7a5deb241c42ed6f6b4a,157,5.824081128927889,0.4487355613770008,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_164,P15,0deac287661e54a4c7a5a6031f7a5173,164,5.824081128927889,0.4487355613770008,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_186,P15,d99b07630f676559a175714c1c2748b0,186,5.824081128927889,0.4487355613770008,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_176,P15,b851389ecc31f63f99a824faab37466a,176,5.824081128927889,0.4487355613770008,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_183,P15,9a179c7ba69eb76ac62b5ef3315d69bc,183,5.824081128927889,0.4487355613770008,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_178,P15,e6ca22ea7460d401a8d7530194d4f89e,178,5.824081128927889,0.4487355613770008,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_188,P15,4113081dbc5a1c43d68ad42716c72012,188,5.824081128927889,0.4487355613770008,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_166,P15,4411b5c321da2af871ea1a00ab86a190,166,5.824081128927889,0.4487355613770008,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_198,P15,7d87f978e13c4a5c526810f1f50c948a,198,5.824081128927889,0.4487355613770008,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
