experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group
UNISIM_IV_P15_Seq2Trend_trial_8,P15,04f9ebed227bfae50b2fdf6950c46c03,8,5.780096447312151,0.48507008985048383,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,8,,default_group
UNISIM_IV_P15_Seq2Trend_trial_61,P15,0ca24c15005f2e2c0f6fa8c7c309dea4,61,5.748634793004012,0.8227812278829294,Seq2Trend,Normal,False,0.99,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,8,,default_group
UNISIM_IV_P15_Seq2Trend_trial_77,P15,2cf7f4ac8eee6c0beb4291ea58d62e9d,77,6.196301273333386,0.22869341084060585,Seq2Trend,Normal,False,0.5,300,300,100,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,4,,default_group
UNISIM_IV_P15_Seq2Trend_trial_64,P15,bcdec9e2992f627793d5836373fe0642,64,6.525137477043947,0.25221745669351087,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P15_Seq2Trend_trial_41,P15,fe218368d2ccc48d1109bdd1834ce66b,41,7.14856585040554,0.4981063242681711,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,5,,default_group
UNISIM_IV_P15_Seq2Trend_trial_13,P15,c2b86650fb634c58d4ce0e81e77eecdf,13,6.386711832953116,0.22794596236035491,Seq2Trend,Normal,False,0.25,300,300,20,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_60,P15,337efc04bfc115f8611d5fccedaec1ce,60,6.105277649599712,0.2730603132178531,Seq2Trend,Normal,False,0.01,300,300,100,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,6,,default_group
UNISIM_IV_P15_Seq2Trend_trial_19,P15,b47676c1e27247e8dd9416cc6b18e8a0,19,6.096161881457168,0.2788511507555546,Seq2Trend,Normal,False,0.01,300,300,100,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,5,,default_group
UNISIM_IV_P15_Seq2Trend_trial_98,P15,fa3ab71481ca672ad8dea5f4a4bae1fb,98,6.60612105294382,0.2605826575376832,Seq2Trend,Normal,False,0.01,300,300,200,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group
UNISIM_IV_P15_Seq2Trend_trial_2,P15,e49ec63dbad3bb84a5a4171fd5b90265,2,9.343960251915709,1.379582465051724,Seq2Trend,Normal,False,0.5,300,300,100,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,4,,default_group
UNISIM_IV_P15_Seq2Trend_trial_69,P15,8ef1b7d73a4f35613dbd52159719d6e3,69,6.373838055473197,0.22640264227999526,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
UNISIM_IV_P15_Seq2Trend_trial_44,P15,0aac189162283b4c1981df7389fcc1b9,44,6.5691694186067755,0.25950484105132754,Seq2Trend,Normal,False,0.01,300,300,100,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,7,,default_group
