rank,feature,mean_|SHAP|,relative_%,direction
1,BORE_OIL_VOL_LAG_5_t0,0.16662465720987207,21.18574000359877,↓
2,BORE_OIL_VOL_LAG_6_t0,0.1408457823831163,17.908046600892657,↓
3,BORE_OIL_VOL_LAG_1_t0,0.09166189833841701,11.654488470983338,↑
4,BORE_OIL_VOL_MEAN_LAG_t0,0.07913417690138481,10.061632685730746,↑
5,BORE_OIL_VOL_LAG_7_t0,0.06890452477899897,8.760968343363002,↑
6,Prod_Start_Time_t0,0.0514996603483774,6.5480009542652855,↑
7,BORE_OIL_VOL_LAG_4_t0,0.05022677068094102,6.386157503247062,↑
8,BORE_GAS_VOL_t0,0.04914768630098681,6.2489557139172875,↓
9,ON_STREAM_HRS_t0,0.04217590018015471,5.3625175925136315,↑
10,BORE_OIL_VOL_LAG_2_t0,0.02613194436697894,3.322584954818575,↓
11,BORE_OIL_VOL_LAG_3_t0,0.020141391350332723,2.560907176669653,↓
