Day,Oil Rate SC,Gas Rate SC,Water Rate SC,Well Bottom-hole Pressure
1043.0,6056.021432,2648541.784,0.412177068,55104.05211
1044.0,5902.123127,2613918.201,0.551377389,51229.53903
1045.0,6113.50324,2682745.984,0.660615766,51622.1268
1046.0,6087.505878,2597567.289,0.687198816,50246.56662
1047.0,5781.185315,2629985.559,0.698144719,51336.1216
1048.0,6104.54308,2683547.081,0.711998075,50050.92338
1049.0,5763.485638,2535967.794,0.778276474,50928.39263
1050.0,5978.621405,2661904.692,0.727484285,49914.85013
1051.0,5737.050761,2677228.471,0.779167203,49429.42672
1052.0,6009.977912,2506208.099,0.775534612,48616.21375
1053.0,5826.37731,2570591.635,0.780256438,49953.4834
1054.0,6085.616465,2620326.341,0.766874078,48909.4431
1055.0,5866.713952,2471123.226,0.835979379,49497.03837
1056.0,5964.892211,2475079.617,0.854051283,49313.97851
1057.0,5883.322277,2607276.011,0.820339448,50263.33135
1058.0,5739.357086,2604553.908,0.871820434,49310.66336
1059.0,5808.76085,2660810.387,0.833816883,48788.46645
1060.0,6117.301178,2618564.416,0.796478657,48653.91419
1061.0,5741.472651,2432155.754,0.835011716,49042.69759
1062.0,5917.616086,2469103.707,0.868600313,49200.46575
1063.0,5926.11551,2512197.377,0.818161014,48606.10086
1064.0,6092.615294,2517399.066,0.775447969,49505.46624
1065.0,6643.558405,2867259.298,1.165964541,48088.63401
1066.0,6986.516058,2973217.67,1.192624815,47225.93306
1067.0,6862.144851,3001202.931,1.218935335,47895.08835
1068.0,6989.270593,3016301.397,1.273220571,47851.77911
1069.0,6629.772638,2876972.792,1.158257736,46591.40631
1070.0,6925.358784,2952616.406,1.191871527,45896.13478
1071.0,6794.433325,2793081.188,1.29306961,46076.46428
1072.0,6759.560325,2975885.427,1.221194232,46586.08612
1073.0,6918.834725,2763701.083,1.394406518,45539.32559
1074.0,7012.319506,3018940.602,1.318708036,47849.91967
1075.0,6817.317635,3002668.183,1.276771344,45674.28394
1076.0,6611.374238,2869281.332,1.182850951,46521.83651
1077.0,6884.731267,2820579.378,1.227040795,47598.95058
1078.0,0.0,0.0,0.0,58123.34152
1078.8,7224.092735,3150461.255,0.830088452,50879.96529
1079.0,7047.295993,2885502.603,1.212807863,48538.15121
1080.0,6629.153654,2855822.523,1.518913264,46353.15158
1081.0,6975.125829,2920820.016,2.355322007,46555.7715
1082.0,6474.719115,2786694.787,3.075799383,46802.61938
1083.0,7026.671008,2939148.939,4.311476269,46877.75089
1084.0,7007.496368,3036958.549,5.859063153,47110.76899
1085.0,6238.369654,2825572.728,9.757932925,46751.69291
1086.0,6472.478071,2739440.068,12.04103627,48231.3932
1087.0,6417.785322,2662865.968,16.68632131,46000.38823
1088.0,6234.611368,2694213.263,20.18010808,46796.50169
1089.0,6515.159758,2755660.76,23.90865498,45896.79443
1090.0,6250.421555,2836142.972,30.70489026,46423.05612
1091.0,6165.801828,2812720.429,32.81271399,47415.2104
1092.0,6568.105632,2597748.842,40.88101891,46941.22266
1093.0,6174.863334,2730594.392,50.00703702,46174.7386
1094.0,6046.61879,2608359.07,53.72900801,47001.37813
1095.0,6237.752555,2720517.63,54.45961492,45889.64468
1096.0,6110.471084,2796462.587,65.49728406,46091.62271
1097.0,6499.801201,2789551.287,69.24669721,46345.78163
1098.0,6141.511021,2762933.886,69.86409458,46707.22412
1099.0,6063.684036,2763613.316,86.17237723,46878.34182
1100.0,6369.572808,2647409.942,78.19732276,46881.57757
1101.0,6599.461548,2771757.524,94.08529134,45721.18316
1101.5,6371.991621,2675838.79,95.29679529,46254.76362
1102.0,6354.134905,2635002.436,96.05092005,45636.6221
1103.0,6089.452144,2564224.227,100.6418902,46296.91608
1104.0,6437.236839,2696738.348,104.8421151,46310.81737
1105.0,6325.92148,2770215.599,100.8804175,46429.24656
1106.0,5982.289698,2753400.88,108.9332156,45745.70166
1107.0,6217.397322,2711300.975,106.009193,45803.04103
1108.0,6357.099905,2770786.076,113.9970718,46374.26193
1109.0,6309.880401,2603363.932,128.3160485,46360.9649
1110.0,6155.258701,2701543.368,113.7040405,45777.4732
1111.0,6234.336082,2598011.468,122.586643,45261.28182
1112.0,6024.386951,2786191.093,119.9971537,47276.31624
1113.0,6121.491897,2710832.567,130.8225692,47129.37119
1114.0,6090.969839,2587539.204,127.0509451,45380.08848
1115.0,6183.62079,2624278.402,132.7489679,45713.77591
1116.0,5943.966561,2679965.757,133.1557549,47022.93805
1117.0,6002.733549,2652016.594,147.6653893,45335.70035
1118.0,6161.940167,2597800.757,150.9182329,46534.4067
1119.0,6264.559196,2575658.271,154.2620044,45995.59754
1120.0,6158.983849,2597525.442,143.8010986,45352.054
1121.0,6279.203025,2588336.062,149.1291964,47310.84653
1122.0,5929.402053,2719822.654,150.1529399,45278.50101
1123.0,5975.963587,2669301.788,150.4844117,46779.2104
1124.0,6223.983062,2719807.255,160.3305858,46976.75426
1125.0,6174.189084,2532470.423,164.0436475,45508.33158
1126.0,6047.242989,2597580.484,154.3647055,45551.02717
1127.0,4646.987049,2107303.249,128.1257115,48270.74364
1128.0,4720.116657,2048532.037,136.1407143,48943.73178
1129.0,5112.599854,2092245.816,135.6144281,47571.23502
1130.0,5050.597386,2151501.807,137.2686655,48646.5665
1131.0,5059.468397,2125374.943,126.1842325,49419.59135
1132.0,4708.901311,2201132.263,133.8463996,47858.65809
1133.0,4830.945147,2022925.723,139.5676121,48269.03761
1134.0,4703.57933,2057291.316,139.9689866,49108.24059
1135.0,4840.462838,2084847.306,134.8521002,48037.38226
1136.0,4696.839053,2134050.183,135.788501,49154.6097
1137.0,5076.172122,2178462.829,147.8161147,48986.85321
1138.0,0.0,0.0,0.0,55899.67256
1139.0,0.0,0.0,0.0,57390.10319
1140.0,0.0,0.0,0.0,57497.75873
1141.0,5194.591429,2310346.265,127.0515097,51526.57226
1142.0,5266.014172,2219776.311,142.1994988,49303.61486
1143.0,5153.684312,2192363.177,131.39809,50194.26298
1144.0,4922.268345,2240748.575,132.2438596,49159.34232
1145.0,6266.080518,2831683.453,172.1696909,47922.61714
1146.0,4771.611209,2073904.632,143.2137906,47388.84239
1147.0,5098.448909,2225251.332,147.1396598,48442.23888
1148.0,4428.461106,1906052.393,130.3941434,49017.25154
1149.0,4277.97544,1951287.612,129.3941744,50429.35697
1150.0,4363.508072,1917573.902,140.9330173,50803.45778
1151.0,4392.735584,1809522.38,136.8289568,48834.92668
1152.0,4281.28865,1779711.437,144.6788742,49797.98648
1153.0,4253.775685,1800196.088,146.4476818,50205.01763
1154.0,5149.992825,2171083.055,162.7886711,50007.00597
1155.0,5087.577668,2345479.78,161.9610539,48701.41803
1156.0,5213.788342,2229957.958,188.5755335,48915.04632
1157.0,4202.752454,1852984.541,160.9849405,48292.25791
1158.0,4326.358619,1863327.412,152.7796189,49840.19247
1159.0,4424.580813,1810507.42,152.8007484,48684.0436
1160.0,4140.5343,1952995.051,154.9267228,49493.4782
1161.0,4085.1961,1830030.676,147.5389145,49883.86365
1162.0,4272.658295,1941008.027,160.1530456,48942.07283
1163.0,4380.517825,1788501.505,155.4001725,50817.27938
1164.0,4465.17377,1756046.169,157.177382,50036.97459
1165.0,4126.220545,1824957.123,154.0800881,49681.6742
1166.0,4103.640986,1944636.418,149.7355463,50621.46181
1167.0,5079.82909,2222959.756,189.3764286,48467.87064
1167.4,4441.157944,1812145.057,168.4746564,48285.20127
1168.0,4279.382701,1924204.384,158.2371748,49814.61557
1169.0,4332.815856,1827357.947,168.3378471,49198.30803
1170.0,4410.780493,1813293.351,157.7778114,49961.92346
1171.0,4094.111118,1871860.495,180.810601,49375.0651
1172.0,4174.705446,1785436.481,178.7664433,50062.6032
1173.0,4342.579859,1859171.611,176.1485298,49727.35426
1174.0,4959.874593,2186746.226,217.1523431,49760.08298
1175.0,5244.523976,2121728.244,225.7149626,47521.11056
1176.0,4930.486639,2168124.49,205.6805573,47720.14068
1177.0,4018.5194,1914556.715,197.3944111,49815.86657
1178.0,4360.160535,1939905.468,194.8953628,48652.65989
1179.0,4277.414717,1849407.461,186.5934804,49678.06533
1180.0,4044.104845,1869876.183,196.3418755,49436.38061
1181.0,4363.720917,1798904.854,188.2192606,48583.1291
1182.0,4252.53341,1844143.109,189.3611302,49654.67699
1183.0,4173.977332,1899524.278,177.3627398,49621.25375
1184.0,4299.270051,1802063.642,205.2652315,49997.22042
1185.0,4203.155234,1902424.168,196.7233824,48401.02891
1186.0,4472.305781,1805087.421,184.4528498,49614.94477
1187.0,4286.869787,1848936.158,183.6224913,48454.21997
1187.8,4280.583872,1841955.894,183.979008,48347.46607
1188.0,4122.699967,1762857.113,188.966253,48558.7633
1189.0,4169.990504,1741196.925,190.1840508,50452.59965
1190.0,4065.421159,1872120.2,198.8998981,50616.88635
1191.0,6279.24113,2670538.519,272.1189789,48265.18154
1191.6,4934.401474,2090907.233,222.3980871,48635.9137
1192.0,4092.129111,1889003.569,209.7903027,48189.71451
1193.0,4391.334138,1848988.555,216.0779895,49391.32178
