experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group
UNISIM_IV_P12_Seq2Trend_trial_185,P12,9ec16001e1491c641ed5098c4bff2bed,185,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_183,P12,f1b37d5966c5b22dd9a39060c4225bcf,183,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_151,P12,e888000edaeb2005130c453243c69852,151,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_152,P12,02969548c3f2b3c10c98061bed1d6891,152,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_172,P12,3c559f8c56987665898e61fb5c4430f7,172,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_186,P12,7133a3036463ba392f9aece2764d1e19,186,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_156,P12,00db85b81cf5b892f7a74654cfb1609b,156,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_153,P12,fc5ca557813546d88f8ad11012a4bf07,153,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_180,P12,8a279bd8f8e0af1b1921f6236c4a9644,180,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_160,P12,2712b025c19716c41d5b0858e94ae307,160,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
