experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group
UNISIM_IV_P11_Seq2Trend_trial_159,P11,9a661abc118afff98ca010544b9d0e63,159,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_155,P11,21a9c931a0f17c7167449e895cdb6ba4,155,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_185,P11,c18bff25411129365e3c4dda0b6c3a1e,185,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_183,P11,09af59f984ffa976ae3ff79650bc3a4a,183,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_152,P11,45ff6414c0efa0c07bcec543613edc00,152,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_188,P11,abb2cb325e1135c9cc016c8e0dc239f6,188,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_176,P11,d28ac6cab8cba1168b8fad8795083977,176,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_175,P11,ce88b40a0e456cb3169c2498ef6f37f1,175,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_196,P11,8af14b299397ce1abc2469a39daa7d1f,196,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_194,P11,09a372efae2ae02aeae1c5a5d02f66b6,194,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_189,P11,c57e8e51ef323e3bcdd84a81fa2b0150,189,5.014553011215985,0.07077080162280171,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_177,P11,e4b0e495a1de30dfc43d90770877576d,177,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_151,P11,1ded05791ebfe636cdce86d5c15bc40a,151,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_199,P11,2615c3c1b75c6a1888ca0db4f10b4c7d,199,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_174,P11,dca51d25b57e52dde85a2c3f313b17c1,174,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_178,P11,0e3e939423c71a2af839f6482c1481a9,178,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_165,P11,abe291388a30a4598529324fb90bd5f1,165,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_190,P11,fae61f7b102ae1e571785e1320cebdf9,190,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_179,P11,0aa0c90ed600d8ac1f91f73a578c20fa,179,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_193,P11,71f6414526dfec442907d6e586233133,193,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_170,P11,d0aa044b063c06a0258ee8acb3026022,170,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_150,P11,25511b7e42ead1ee85c6ebd0148768f2,150,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_198,P11,70c40976d89b5ff093e50ee9dbbb779e,198,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_154,P11,2bc19a856816982fd064a47db78912b0,154,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_181,P11,488f1292430e50563d26cf09373e5994,181,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_168,P11,15ad80c5a15fec9c867b3fe9d0c636c4,168,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_169,P11,3f01fe194006d9791971bf18c2da81eb,169,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_195,P11,da9f81e5a0b3620d16c7b005ac292545,195,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_163,P11,c3414ade515120ef20a8abeffb38a6e9,163,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_180,P11,e163804c11c595612fd0ab1ce51e107e,180,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_172,P11,7b781bb18cf843c59d96e80206258787,172,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_191,P11,db24ad945415a62815927dff4bc21470,191,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_187,P11,c40d9fb053ef252f31fa4bbaead00645,187,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_167,P11,3d8d41ab289f6d0cbcf4bcf855e107c8,167,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_160,P11,184a04e236a96acf2b6a09c597b5a164,160,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_192,P11,a5925bc8e4b0a27a01f2a6286eaee7d6,192,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_164,P11,c932c22041caf4649757ae13eb783683,164,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_186,P11,44a35b34a6a5c28b75a65e9456e675e3,186,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_161,P11,eeb271a11c55479bfe08435e05ee5bc9,161,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_157,P11,86e2a09e1c8dd1e569c5ba7a3643c9d8,157,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_182,P11,19def375e64888b4d687697459ace1df,182,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_171,P11,a3a70da3fe9d37678af09a9855136290,171,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_156,P11,00c4a3f27b5310cdbb50b23aeae2a41d,156,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_197,P11,dcfdb6c99eff0b9bc3a54d1fde63a8a6,197,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
UNISIM_IV_P11_Seq2Trend_trial_162,P11,c760c64894def2a80e6edc6099c906e4,162,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group
