R²,SMAPE,MAE,Well,Method,Category,Setting
0.5099337212038493,36.39811350956039,3055949.1540233535,wind,TiDE+RIN,Cumulative,Small & Fast
-123.24376319628536,140.33036383622007,13077996.410028573,solar,TiDE+RIN,Cumulative,Small & Fast
0.7942073548769764,18.12510378594039,16172141.740364982,load,TiDE+RIN,Cumulative,Small & Fast
0.9652614135108135,3.4360745308875327,765653.3152037798,15/9-F-14,TiDE+RIN,Cumulative,Small & Fast
-0.0033329580148020455,16.633536163369588,4645482.071494839,15/9-F-12,TiDE+RIN,Cumulative,Small & Fast
0.9527043999830163,4.84829094380415,264960.2160626454,15/9-F-11,TiDE+RIN,Cumulative,Small & Fast
0.9660318404199641,3.022673639430239,22019.13325847594,15/9-F-15 D,TiDE+RIN,Cumulative,Small & Fast
0.998593520967505,1.271533891179784,47314.117451584396,Prod-1,TiDE+RIN,Cumulative,Small & Fast
0.9981911659108961,0.9370628028084148,43006.215827619315,Prod-2,TiDE+RIN,Cumulative,Small & Fast
0.9999960391226401,0.0687601682270983,2674.2721268364116,Prod-3,TiDE+RIN,Cumulative,Small & Fast
0.9887895647856338,3.974306074194442,214900.94841604412,Prod-4,TiDE+RIN,Cumulative,Small & Fast
0.9743225481481255,6.174077758730262,358495.8168726935,Prod-5,TiDE+RIN,Cumulative,Small & Fast
0.9977558067378227,1.7647211932131333,80781.93511259629,Prod-6,TiDE+RIN,Cumulative,Small & Fast
0.9959006032186292,2.4022096230707155,109775.36586039411,Prod-7,TiDE+RIN,Cumulative,Small & Fast
0.9825674983763306,5.081617825810875,223514.10800773458,Prod-8,TiDE+RIN,Cumulative,Small & Fast
0.9833149939415767,4.941072397322972,244823.7438062262,Prod-9,TiDE+RIN,Cumulative,Small & Fast
0.9965672303639649,2.229945823849136,139355.99113868724,Prod-10,TiDE+RIN,Cumulative,Small & Fast
