rank,feature,mean_|SHAP|,relative_%,direction
1,BORE_OIL_VOL_LAG_6_t0,0.16336976065779002,20.217499874484645,↓
2,BORE_GAS_VOL_t0,0.15632345147443832,19.345497892867,↓
3,BORE_OIL_VOL_LAG_7_t0,0.10297720207785864,12.743738876161553,↑
4,BORE_OIL_VOL_LAG_1_t0,0.07746088635515964,9.586017962304178,↑
5,Prod_Start_Time_t0,0.07322923098763567,9.062337866812168,↑
6,BORE_OIL_VOL_LAG_5_t0,0.04817509410167986,5.961812975867612,↓
7,BORE_OIL_VOL_MEAN_LAG_t0,0.04672411152915777,5.782249512839143,↑
8,ON_STREAM_HRS_t0,0.03864960768745126,4.783005345810102,↑
9,BORE_OIL_VOL_LAG_2_t0,0.03603359917865924,4.459266414656619,↓
10,BORE_OIL_VOL_LAG_3_t0,0.03548097597861973,4.390877629409884,↓
11,BORE_OIL_VOL_LAG_4_t0,0.029637223396952725,3.667695648787092,↑
