experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group,campaign,dataset,architecture,val_smape_cum_norm,val_smape_agg_norm,weighted_score
UNISIM_IV_P11_Seq2Trend_trial_3,P11,220ad4910e867f1fe0ddeeb6b3287346,3,5.053081845718297,0.1103969781452826,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,3,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.05785123966942149,0.12148760330578512,0.3586776859504132
UNISIM_IV_P11_Seq2Trend_trial_20,P11,a29219da8efaf1538c187c1e073488f6,20,20.485737880632144,5.6213067972569855,Seq2Trend,Normal,False,0.5,300,300,100,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.9801652892561984,0.9264462809917355,3.813223140495868
UNISIM_IV_P11_Seq2Trend_trial_99,P11,5dcfa62c9a5e94976855eaa8bcc09af9,99,14.919279615595604,4.036392740159027,Seq2Trend,Normal,False,0.99,300,300,200,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,6,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.9095041322314049,0.8880165289256199,3.5950413223140494
UNISIM_IV_P11_Seq2Trend_trial_95,P11,be48ed1e6747567217afff635148ed58,95,12.798404773322156,3.148668033786844,Seq2Trend,Normal,False,0.99,300,300,20,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,8,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8838842975206611,0.8648760330578512,3.497520661157025
UNISIM_IV_P11_Seq2Trend_trial_61,P11,d3590e79a2418fc43d8077908eb28c7f,61,5.366343161995181,0.333117632937156,Seq2Trend,Normal,False,0.01,300,300,100,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,6,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.2322314049586777,0.2545454545454545,0.9735537190082644
UNISIM_IV_P11_Seq2Trend_trial_52,P11,7dba473bb572a4059c7e11168b3257c7,52,11.87492876950984,2.787838774092418,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8206611570247934,0.812396694214876,3.266115702479339
UNISIM_IV_P11_Seq2Trend_trial_4,P11,78c234352efa5472849b5e0220ba486c,4,15.183891874852115,3.998756214827288,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,4,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.9074380165289256,0.8917355371900827,3.5983471074380167
UNISIM_IV_P11_Seq2Trend_trial_19,P11,6c27e82a3ae9c0a39fd0fd5e29fcdf4a,19,5.129444581927858,0.6476776346688938,Seq2Trend,Normal,False,0.5,300,300,20,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,6,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.43636363636363634,0.13553719008264462,1.1438016528925619
UNISIM_IV_P11_Seq2Trend_trial_47,P11,75b80317e49a2e70a7ab4d65f56c9f2e,47,5.59391472096981,0.857440460143404,Seq2Trend,Normal,False,0.5,300,300,20,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,7,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.5797520661157025,0.2772727272727273,1.7140495867768597
UNISIM_IV_P11_Seq2Trend_trial_70,P11,38d47e505bed2b07495c24f28371568a,70,5.025225787253364,0.0760766569831191,Seq2Trend,Normal,False,0.01,300,300,20,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,7,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.0512396694214876,0.11487603305785124,0.3322314049586777
UNISIM_IV_P11_Seq2Trend_trial_31,P11,8cf108cc2b66e88c6526fa1213baeae2,31,23.021918466205317,6.314368651504708,Seq2Trend,Normal,False,0.99,300,300,100,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,8,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.9834710743801653,0.9768595041322314,3.9206611570247936
UNISIM_IV_P11_Seq2Trend_trial_66,P11,12e43f464771fc697a3db683cacd10c4,66,14.919279615595604,4.036392740159027,Seq2Trend,Normal,False,0.99,300,300,200,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.9095041322314049,0.8880165289256199,3.5950413223140494
UNISIM_IV_P11_Seq2Trend_trial_8,P11,70535ca56e1190db7a5bb7a987ae31ac,8,4.992255045045386,0.3747736297391272,Seq2Trend,Normal,False,0.5,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,2,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.2892561983471074,0.10495867768595041,0.7884297520661157
UNISIM_IV_P11_Seq2Trend_trial_26,P11,80ceed2749a952bcabe84daaf4043b16,26,5.014807795958185,0.0634421460935031,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.002892561983471074,0.11363636363636363,0.2330578512396694
UNISIM_IV_P11_Seq2Trend_trial_67,P11,d40e5309cbe321c562687f4f8808a76a,67,5.004708102274335,0.5527103797047083,Seq2Trend,Normal,False,0.25,300,300,200,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.40950413223140497,0.10785123966942149,1.034710743801653
UNISIM_IV_P11_Seq2Trend_trial_29,P11,ea49eca7503b6b2f6643e6f97ebc8c6a,29,5.053081845718297,0.1103969781452826,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.05785123966942149,0.12148760330578512,0.3586776859504132
UNISIM_IV_P11_Seq2Trend_trial_81,P11,22d9bbc0e065739007e0b5354b0f765a,81,8.093759616527837,1.4593062539968968,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,6,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.7429752066115702,0.759504132231405,3.0049586776859503
UNISIM_IV_P11_Seq2Trend_trial_86,P11,e6b1e950b731fec6fda1231874b157df,86,4.994502822117894,0.1651236049483552,Seq2Trend,Normal,False,0.01,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,7,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.11818181818181818,0.10578512396694215,0.4479338842975207
UNISIM_IV_P11_Seq2Trend_trial_90,P11,565bafe09d62205a3d185a2d621ddeb4,90,7.423335583860953,1.2228153277918028,Seq2Trend,Normal,False,0.5,300,300,100,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,7,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.7256198347107438,0.6950413223140496,2.8413223140495867
UNISIM_IV_P11_Seq2Trend_trial_76,P11,e48ad38b682feca67428b12206a972ee,76,12.921266643240958,3.1964934394000557,Seq2Trend,Normal,False,0.99,300,300,100,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,3,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8867768595041322,0.8677685950413223,3.509090909090909
UNISIM_IV_P11_Seq2Trend_trial_58,P11,c95718f37b4392e5a7a6a2488a7e9017,58,5.007789259842159,0.0665428009259441,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,7,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.004545454545454545,0.1103305785123967,0.22975206611570248
UNISIM_IV_P11_Seq2Trend_trial_21,P11,ce8475a0dee905a8247bbbec4b6e6195,21,5.068381282646765,0.1299929201331185,Seq2Trend,Normal,False,0.25,300,300,50,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,4,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.07024793388429752,0.1256198347107438,0.3917355371900827
UNISIM_IV_P11_Seq2Trend_trial_78,P11,825fcf234dc7e345818225cbb89b266f,78,12.554540701204752,3.061687190649756,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,3,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8380165289256198,0.8206611570247934,3.3173553719008266
UNISIM_IV_P11_Seq2Trend_trial_93,P11,6ba0e95de21ae79addd5bec12f6d9d6a,93,13.880341874185298,3.581088197985697,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8933884297520661,0.8785123966942149,3.543801652892562
UNISIM_IV_P11_Seq2Trend_trial_57,P11,793636ee4ad201ce8a14c095788119dc,57,6.013214276345959,0.6397524405167334,Seq2Trend,Normal,False,0.5,300,300,100,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.43305785123966944,0.4049586776859504,1.6760330578512397
UNISIM_IV_P11_Seq2Trend_trial_48,P11,85faf7fa987736a1f397005ba6ef3166,48,7.0911175484854745,1.084385862906803,Seq2Trend,Normal,False,0.5,300,300,50,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,2,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.7119834710743802,0.6805785123966942,2.785123966942149
UNISIM_IV_P11_Seq2Trend_trial_79,P11,1ef72254fc77888da8a2b7b70c2ebd84,79,4.931868477853199,0.3787776256049033,Seq2Trend,Normal,False,0.5,300,300,50,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,2,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.2909090909090909,0.05537190082644628,0.6925619834710743
UNISIM_IV_P11_Seq2Trend_trial_44,P11,6ed1118e659fbd402010508144b37f9d,44,12.673332214964333,3.1426571752217565,Seq2Trend,Normal,False,0.25,300,300,200,20,8,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,4,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8818181818181818,0.8636363636363636,3.490909090909091
