rank,feature,mean_|SHAP|,relative_%,direction
1,BORE_GAS_VOL_t0,0.12915769711384606,17.429784935677432,↓
2,BORE_OIL_VOL_MEAN_LAG_t0,0.10534139922755356,14.21578407163132,↑
3,BORE_OIL_VOL_LAG_6_t0,0.07947686167810591,10.725373999127036,↓
4,BORE_OIL_VOL_LAG_5_t0,0.07620242120982665,10.283489431485048,↓
5,BORE_OIL_VOL_LAG_1_t0,0.07260089595090197,9.797464888571938,↑
6,Prod_Start_Time_t0,0.07059177324845223,9.526334499941527,↑
7,BORE_OIL_VOL_LAG_3_t0,0.06087137638921073,8.214570427555856,↓
8,BORE_OIL_VOL_LAG_4_t0,0.05010682058329823,6.761897479541215,↑
9,BORE_OIL_VOL_LAG_2_t0,0.04370803855555197,5.898384138206338,↑
10,BORE_OIL_VOL_LAG_7_t0,0.031048454304204318,4.1899777806542735,↑
11,ON_STREAM_HRS_t0,0.021911420530664652,2.956938347608011,↑
