experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group
UNISIM_IV_P12_Seq2Trend_trial_111,P12,f8c543692e675101785b47d613c474c4,111,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P12_Seq2Trend_trial_133,P12,2aa5756dc2a4e80fac4b639bb1bdac20,133,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P12_Seq2Trend_trial_101,P12,a50081503ad6273364aa17cd0447c634,101,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P12_Seq2Trend_trial_149,P12,20d4eab6fc476f5cc73f281849c380f9,149,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P12_Seq2Trend_trial_105,P12,b4b40e6a0a1bc2ca997a875bd4f03953,105,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P12_Seq2Trend_trial_114,P12,09b915aa047d93ff8525546ba0146a74,114,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P12_Seq2Trend_trial_109,P12,f60d082267537a28a8c5a449a4926529,109,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P12_Seq2Trend_trial_127,P12,22dbf880ea53e419b70afc3a2e58f0d3,127,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P12_Seq2Trend_trial_142,P12,622dff23b6c4ed88e9488ac757c650aa,142,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P12_Seq2Trend_trial_108,P12,babe33ac63209293889a8ccbaaef18a6,108,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P12_Seq2Trend_trial_123,P12,bbf8c4da2feb0d38bdc39fe91c71d64c,123,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P12_Seq2Trend_trial_113,P12,00359f801d87f68a6bc3bd5973714b6b,113,4.726203403951818,0.35309167947171777,Seq2Trend,Normal,False,0.01,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
