rank,feature,mean_|SHAP|,relative_%,direction
1,BORE_OIL_VOL_MEAN_LAG_t0,0.25328667840787805,14.813224100827446,↑
2,BORE_OIL_VOL_LAG_7_t0,0.23246252004173584,13.595343529579878,↓
3,Prod_Start_Time_t0,0.21803690573142376,12.751675560486603,↓
4,BORE_OIL_VOL_LAG_6_t0,0.19508233001134714,11.409199610238083,↓
5,BORE_OIL_VOL_LAG_3_t0,0.1514355795095778,8.85656201982187,↓
6,BORE_OIL_VOL_LAG_2_t0,0.12845723156594127,7.512695774287464,↑
7,ON_STREAM_HRS_t0,0.12245144415323415,7.161453160954697,↑
8,BORE_OIL_VOL_LAG_1_t0,0.11637388700263626,6.80601316457077,↑
9,BORE_GAS_VOL_t0,0.11346083617536351,6.63564623097309,↓
10,BORE_OIL_VOL_LAG_5_t0,0.10536776210533895,6.162330695322161,↓
11,BORE_OIL_VOL_LAG_4_t0,0.07345349860972622,4.2958561529379224,↑
