experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group
UNISIM_IV_P16_Seq2Trend_trial_184,P16,f624020e4d0e0e3128860ed51ba6bb15,184,6.452100416773495,0.455573189967424,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
UNISIM_IV_P16_Seq2Trend_trial_191,P16,79b45ae402a8ef01c364ad373c29bbec,191,6.452100416773495,0.455573189967424,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
UNISIM_IV_P16_Seq2Trend_trial_166,P16,eba8923fdba90cab286ddd477f271dd9,166,6.452100416773495,0.455573189967424,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
UNISIM_IV_P16_Seq2Trend_trial_159,P16,caf6c94c5da90850ba7a33a7541adc16,159,6.452100416773495,0.455573189967424,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
UNISIM_IV_P16_Seq2Trend_trial_181,P16,db5115017e6024997abcbc372832ca87,181,6.452100416773495,0.455573189967424,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
UNISIM_IV_P16_Seq2Trend_trial_172,P16,f565ca851d8e2ecbae485b745cdd5547,172,6.452100416773495,0.455573189967424,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
UNISIM_IV_P16_Seq2Trend_trial_192,P16,ab429509e69f40824dad6b9eaa20280d,192,6.452100416773495,0.455573189967424,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
UNISIM_IV_P16_Seq2Trend_trial_193,P16,28a5754985616f4b0bd7f3b05bf41e93,193,6.452100416773495,0.455573189967424,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
UNISIM_IV_P16_Seq2Trend_trial_152,P16,b49c5736429d1a791a3c9574e1b48409,152,6.452100416773495,0.455573189967424,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
UNISIM_IV_P16_Seq2Trend_trial_189,P16,e31a1737c0814652e7939d75fe5cd10e,189,6.452100416773495,0.455573189967424,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
UNISIM_IV_P16_Seq2Trend_trial_176,P16,20c914449f3ec6d7da4fcdbd621753b7,176,6.452100416773495,0.455573189967424,Seq2Trend,Normal,False,0.99,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group
