experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group
UNISIM_IV_P13_Seq2Trend_trial_173,P13,f5b61c403f5d99cf8db8c0646390ff21,173,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_185,P13,8140ef8a068ae088b565353fb54987ec,185,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_196,P13,79d48a9fbc9fb90cd3b7b58c3a4a84b2,196,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_184,P13,c2e31e7c8a69cb919ecdc4bb74b8b9e4,184,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_150,P13,ce3e4c149cb332eb5a3bd84cc4afbb16,150,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_190,P13,b6bfdf725eb425780d699713f83a572a,190,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_188,P13,9b1fb2630f0b75c60f57b0f6db30b3b7,188,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_170,P13,01737bf243f112a8ca0d049eb65070b1,170,5.615942432102475,0.9119866298562491,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,arps,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_155,P13,ac3521891289325b744bbfac49523f4c,155,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_169,P13,263bf4dc83deef4f2882be5fcd7c647f,169,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_193,P13,6a930a381c156063563cb4900e86eb70,193,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_189,P13,6f9b7570785fdf4b8a8052c5965f4998,189,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_172,P13,bd9c1f0161e3eb8aef5ef6d969c97fd9,172,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_199,P13,88c1ab9c178c42ed334a9798d84c16b7,199,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_198,P13,f407ad6824e2dc4e249ec95240676296,198,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_191,P13,d268d47bfa2a14c1fa9cdf045edf683c,191,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_181,P13,2e5a6889cf6211748bb84743d7b4323a,181,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
UNISIM_IV_P13_Seq2Trend_trial_187,P13,bc6da9f40efef7d5c47dd4a973ed4f90,187,5.611060042954485,0.8948583573854724,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group
