experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group
UNISIM_IV_P14_Seq2Trend_trial_156,P14,d754a7d390328e235317c1a4aedbe332,156,21.87197975393236,4.608101703741098,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P14_Seq2Trend_trial_180,P14,4c5d3c2e12713641a27d94b8fff9a6df,180,21.87197975393236,4.608101703741098,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P14_Seq2Trend_trial_194,P14,db0aaadc5746187c06899b14acb77cbf,194,21.87197975393236,4.608101703741098,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P14_Seq2Trend_trial_167,P14,2f7e18f006a543fb72e8e43fccf788a8,167,21.87197975393236,4.608101703741098,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P14_Seq2Trend_trial_184,P14,725c7a906a633ff94f91b8aea7ca2bf5,184,21.87197975393236,4.608101703741098,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P14_Seq2Trend_trial_168,P14,a646f775149d0cd08142c370d44787b2,168,21.87197975393236,4.608101703741098,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P14_Seq2Trend_trial_187,P14,1859a149469042743aafd54ae66699a0,187,21.87197975393236,4.608101703741098,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P14_Seq2Trend_trial_174,P14,f3a645fae57aa39a5f48d7451548bc60,174,21.87197975393236,4.608101703741098,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P14_Seq2Trend_trial_199,P14,28e3a9f10f77d12123c48372ca83763f,199,21.87197975393236,4.608101703741098,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
UNISIM_IV_P14_Seq2Trend_trial_154,P14,2625fe5b1783d3b03b6ec07298d34129,154,21.87197975393236,4.608101703741098,Seq2Trend,Normal,False,0.99,300,300,50,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group
