R²,SMAPE,MAE,Well,Method,Category,Setting
0.999164682986856,2.40385634235395,128613.44732987405,wind,TiDE,Cumulative,Small & Fast
-7.05289290134683,80.77192081058843,3432809.3985461793,solar,TiDE,Cumulative,Small & Fast
0.9994698393559165,0.9738258533513008,863696.5787675197,load,TiDE,Cumulative,Small & Fast
0.6319794539300669,14.639419716574212,3190397.5591821657,15/9-F-14,TiDE,Cumulative,Small & Fast
-0.4400467501987133,24.812370205067392,7078373.83719762,15/9-F-12,TiDE,Cumulative,Small & Fast
0.9408994184334142,7.5031080864602195,380356.96753448393,15/9-F-11,TiDE,Cumulative,Small & Fast
0.8275750689780312,8.962571810590724,60935.38972993082,15/9-F-15 D,TiDE,Cumulative,Small & Fast
0.9999653249284467,0.2284660107826996,7593.135894851003,Prod-1,TiDE,Cumulative,Small & Fast
0.9996652955931834,0.5212515003003749,21082.96961686655,Prod-2,TiDE,Cumulative,Small & Fast
0.9991957990457688,1.140194019876285,43196.86080911524,Prod-3,TiDE,Cumulative,Small & Fast
0.9766668499640532,6.324265329112196,323528.0813053031,Prod-4,TiDE,Cumulative,Small & Fast
0.9531978306671466,9.367408037183734,505705.4264292813,Prod-5,TiDE,Cumulative,Small & Fast
0.9967842055919514,2.3018784829523815,100860.40542171382,Prod-6,TiDE,Cumulative,Small & Fast
0.9952889045014668,2.784422344860586,123044.26309615196,Prod-7,TiDE,Cumulative,Small & Fast
0.9790189064961685,6.158115303062239,255356.45561008164,Prod-8,TiDE,Cumulative,Small & Fast
0.9853026913732046,5.0800905277666155,239173.84066398547,Prod-9,TiDE,Cumulative,Small & Fast
0.9894514360743075,4.338787372427179,254171.41445547293,Prod-10,TiDE,Cumulative,Small & Fast
